agent,contrainte,jour,value,poids
1,3,61,0,200
1,3,62,0,200
1,3,63,0,200
1,3,64,0,200
1,3,65,0,200
1,3,66,0,200
1,3,67,0,200
1,3,68,0,200
1,3,69,0,200
1,3,70,0,200
1,3,71,0,200
1,3,72,0,200
1,3,73,0,200
1,3,74,0,200
1,3,75,0,200
1,3,76,0,200
1,3,77,0,200
1,3,78,0,200
1,3,79,0,200
1,3,80,0,200
1,3,81,0,200
1,3,82,0,200
1,3,83,0,200
1,3,84,0,200
1,10,1,0,180
1,10,2,0,180
1,10,3,0,180
1,10,4,0,180
1,10,5,0,180
1,10,6,0,180
1,10,7,0,180
1,10,8,0,180
1,10,9,0,180
1,10,10,0,180
1,10,11,0,180
1,10,12,0,180
1,10,13,0,180
1,10,14,0,180
1,10,15,0,180
1,10,16,0,180
1,10,17,0,180
1,10,18,0,180
1,10,19,0,180
1,10,20,0,180
1,10,21,0,180
1,10,22,0,180
1,10,23,0,180
1,10,24,0,180
1,10,25,0,180
1,10,26,0,180
1,10,27,0,180
1,10,28,0,180
1,10,29,0,180
1,10,30,0,180
1,10,31,0,180
1,10,32,0,180
1,10,33,0,180
1,10,34,0,180
1,10,35,0,180
1,10,36,0,180
1,10,37,0,180
1,10,38,0,180
1,10,39,0,180
1,10,40,0,180
1,10,41,0,180
1,10,42,0,180
1,10,43,0,180
1,10,44,0,180
1,10,45,0,180
1,10,46,0,180
1,10,47,0,180
1,10,48,0,180
1,10,49,0,180
1,10,50,0,180
1,10,51,0,180
1,10,52,0,180
1,10,53,0,180
1,10,54,0,180
1,10,55,0,180
1,10,56,0,180
1,10,57,0,180
1,10,58,0,180
1,10,59,0,180
1,10,60,0,180
1,10,61,0,180
1,10,62,0,180
1,10,63,0,180
1,10,64,0,180
1,10,65,0,180
1,10,66,0,180
1,10,67,0,180
1,10,68,0,180
1,10,69,0,180
1,10,70,0,180
1,10,71,0,180
1,10,72,0,180
1,10,73,0,180
1,10,74,0,180
1,10,75,0,180
1,10,76,0,180
1,10,77,0,180
1,10,78,0,180
1,10,79,0,180
1,10,80,0,180
1,10,81,0,180
1,10,82,0,180
1,10,83,0,180
1,10,84,0,180
1,11,1,0,180
1,11,2,0,180
1,11,3,0,180
1,11,4,0,180
1,11,5,0,180
1,11,6,0,180
1,11,7,0,180
1,11,8,0,180
1,11,9,0,180
1,11,10,0,180
1,11,11,0,180
1,11,12,0,180
1,11,13,0,180
1,11,14,0,180
1,11,15,0,180
1,11,16,0,180
1,11,17,0,180
1,11,18,0,180
1,11,19,0,180
1,11,20,0,180
1,11,21,0,180
1,11,22,0,180
1,11,23,0,180
1,11,24,0,180
1,11,25,0,180
1,11,26,0,180
1,11,27,0,180
1,11,28,0,180
1,11,29,0,180
1,11,30,0,180
1,11,31,0,180
1,11,32,0,180
1,11,33,0,180
1,11,34,0,180
1,11,35,0,180
1,11,36,0,180
1,11,37,0,180
1,11,38,0,180
1,11,39,0,180
1,11,40,0,180
1,11,41,0,180
1,11,42,0,180
1,11,43,0,180
1,11,44,0,180
1,11,45,0,180
1,11,46,0,180
1,11,47,0,180
1,11,48,0,180
1,11,49,0,180
1,11,50,0,180
1,11,51,0,180
1,11,52,0,180
1,11,53,0,180
1,11,54,0,180
1,11,55,0,180
1,11,56,0,180
1,11,57,0,180
1,11,58,0,180
1,11,59,0,180
1,11,60,0,180
1,11,61,0,180
1,11,62,0,180
1,11,63,0,180
1,11,64,0,180
1,11,65,0,180
1,11,66,0,180
1,11,67,0,180
1,11,68,0,180
1,11,69,0,180
1,11,70,0,180
1,11,71,0,180
1,11,72,0,180
1,11,73,0,180
1,11,74,0,180
1,11,75,0,180
1,11,76,0,180
1,11,77,0,180
1,11,78,0,180
1,11,79,0,180
1,11,80,0,180
1,11,81,0,180
1,11,82,0,180
1,11,83,0,180
1,11,84,0,180
1,12,1,0,180
1,12,2,0,180
1,12,3,0,180
1,12,4,0,180
1,12,5,0,180
1,12,6,0,180
1,12,7,0,180
1,12,8,0,180
1,12,9,0,180
1,12,10,0,180
1,12,11,0,180
1,12,12,0,180
1,12,13,0,180
1,12,14,0,180
1,12,15,0,180
1,12,16,0,180
1,12,17,0,180
1,12,18,0,180
1,12,19,0,180
1,12,20,0,180
1,12,21,0,180
1,12,22,0,180
1,12,23,0,180
1,12,24,0,180
1,12,25,0,180
1,12,26,0,180
1,12,27,0,180
1,12,28,0,180
1,12,29,0,180
1,12,30,0,180
1,12,31,0,180
1,12,32,0,180
1,12,33,0,180
1,12,34,0,180
1,12,35,0,180
1,12,36,0,180
1,12,37,0,180
1,12,38,0,180
1,12,39,0,180
1,12,40,0,180
1,12,41,0,180
1,12,42,0,180
1,12,43,0,180
1,12,44,0,180
1,12,45,0,180
1,12,46,0,180
1,12,47,0,180
1,12,48,0,180
1,12,49,0,180
1,12,50,0,180
1,12,51,0,180
1,12,52,0,180
1,12,53,0,180
1,12,54,0,180
1,12,55,0,180
1,12,56,0,180
1,12,57,0,180
1,12,58,0,180
1,12,59,0,180
1,12,60,0,180
1,12,61,0,180
1,12,62,0,180
1,12,63,0,180
1,12,64,0,180
1,12,65,0,180
1,12,66,0,180
1,12,67,0,180
1,12,68,0,180
1,12,69,0,180
1,12,70,0,180
1,12,71,0,180
1,12,72,0,180
1,12,73,0,180
1,12,74,0,180
1,12,75,0,180
1,12,76,0,180
1,12,77,0,180
1,12,78,0,180
1,12,79,0,180
1,12,80,0,180
1,12,81,0,180
1,12,82,0,180
1,12,83,0,180
1,12,84,0,180
1,13,1,0,200
1,13,2,0,200
1,13,3,0,200
1,13,4,0,200
1,13,5,0,200
1,13,6,0,200
1,13,7,0,200
1,13,8,0,200
1,13,9,0,200
1,13,10,0,200
1,13,11,0,200
1,13,12,0,200
1,13,13,0,200
1,13,14,0,200
1,13,15,0,200
1,13,16,0,200
1,13,17,0,200
1,13,18,0,200
1,13,19,0,200
1,13,20,0,200
1,13,21,0,200
1,13,22,0,200
1,13,23,0,200
1,13,24,0,200
1,13,25,0,200
1,13,26,0,200
1,13,27,0,200
1,13,28,0,200
1,13,29,0,200
1,13,30,0,200
1,13,31,0,200
1,13,32,0,200
1,13,33,0,200
1,13,34,0,200
1,13,35,0,200
1,13,36,0,200
1,13,37,0,200
1,13,38,0,200
1,13,39,0,200
1,13,40,0,200
1,13,41,0,200
1,13,42,0,200
1,13,43,0,200
1,13,44,0,200
1,13,45,0,200
1,13,46,0,200
1,13,47,0,200
1,13,48,0,200
1,13,49,0,200
1,13,50,0,200
1,13,51,0,200
1,13,52,0,200
1,13,53,0,200
1,13,54,0,200
1,13,55,0,200
1,13,56,0,200
1,13,57,0,200
1,13,58,0,200
1,13,59,0,200
1,13,60,0,200
1,13,61,0,200
1,13,62,0,200
1,13,63,0,200
1,13,64,0,200
1,13,65,0,200
1,13,66,0,200
1,13,67,0,200
1,13,68,0,200
1,13,69,0,200
1,13,70,0,200
1,13,71,0,200
1,13,72,0,200
1,13,73,0,200
1,13,74,0,200
1,13,75,0,200
1,13,76,0,200
1,13,77,0,200
1,13,78,0,200
1,13,79,0,200
1,13,80,0,200
1,13,81,0,200
1,13,82,0,200
1,13,83,0,200
1,13,84,0,200
1,14,1,0,200
1,14,2,0,200
1,14,3,0,200
1,14,4,0,200
1,14,5,0,200
1,14,6,0,200
1,14,7,0,200
1,14,8,0,200
1,14,9,0,200
1,14,10,0,200
1,14,11,0,200
1,14,12,0,200
1,14,13,0,200
1,14,14,0,200
1,14,15,0,200
1,14,16,0,200
1,14,17,0,200
1,14,18,0,200
1,14,19,0,200
1,14,20,0,200
1,14,21,0,200
1,14,22,0,200
1,14,23,0,200
1,14,24,0,200
1,14,25,0,200
1,14,26,0,200
1,14,27,0,200
1,14,28,0,200
1,14,29,0,200
1,14,30,0,200
1,14,31,0,200
1,14,32,0,200
1,14,33,0,200
1,14,34,0,200
1,14,35,0,200
1,14,36,0,200
1,14,37,0,200
1,14,38,0,200
1,14,39,0,200
1,14,40,0,200
1,14,41,0,200
1,14,42,0,200
1,14,43,0,200
1,14,44,0,200
1,14,45,0,200
1,14,46,0,200
1,14,47,0,200
1,14,48,0,200
1,14,49,0,200
1,14,50,0,200
1,14,51,0,200
1,14,52,0,200
1,14,53,0,200
1,14,54,0,200
1,14,55,0,200
1,14,56,0,200
1,14,57,0,200
1,14,58,0,200
1,14,59,0,200
1,14,60,0,200
1,14,61,0,200
1,14,62,0,200
1,14,63,0,200
1,14,64,0,200
1,14,65,0,200
1,14,66,0,200
1,14,67,0,200
1,14,68,0,200
1,14,69,0,200
1,14,70,0,200
1,14,71,0,200
1,14,72,0,200
1,14,73,0,200
1,14,74,0,200
1,14,75,0,200
1,14,76,0,200
1,14,77,0,200
1,14,78,0,200
1,14,79,0,200
1,14,80,0,200
1,14,81,0,200
1,14,82,0,200
1,14,83,0,200
1,14,84,0,200
1,15,1,0,190
1,15,2,0,190
1,15,3,0,190
1,15,4,0,190
1,15,5,0,190
1,15,6,0,190
1,15,7,0,190
1,15,8,0,190
1,15,9,0,190
1,15,10,0,190
1,15,11,0,190
1,15,12,0,190
1,15,13,0,190
1,15,14,0,190
1,15,15,1,190
1,15,16,0,190
1,15,17,0,190
1,15,18,0,190
1,15,19,0,190
1,15,20,1,190
1,15,21,1,190
1,15,22,0,190
1,15,23,0,190
1,15,24,0,190
1,15,25,0,190
1,15,26,0,190
1,15,27,0,190
1,15,28,0,190
1,15,29,0,190
1,15,30,0,190
1,15,31,0,190
1,15,32,0,190
1,15,33,0,190
1,15,34,0,190
1,15,35,0,190
1,15,36,0,190
1,15,37,0,190
1,15,38,1,190
1,15,39,0,190
1,15,40,0,190
1,15,41,0,190
1,15,42,0,190
1,15,43,0,190
1,15,44,1,190
1,15,45,1,190
1,15,46,1,190
1,15,47,0,190
1,15,48,0,190
1,15,49,0,190
1,15,50,0,190
1,15,51,0,190
1,15,52,0,190
1,15,53,0,190
1,15,54,0,190
1,15,55,0,190
1,15,56,0,190
1,15,57,0,190
1,15,58,0,190
1,15,59,0,190
1,15,60,0,190
1,15,61,0,190
1,15,62,0,190
1,15,63,0,190
1,15,64,0,190
1,15,65,0,190
1,15,66,1,190
1,15,67,1,190
1,15,68,1,190
1,15,69,0,190
1,15,70,0,190
1,15,71,1,190
1,15,72,1,190
1,15,73,1,190
1,15,74,1,190
1,15,75,1,190
1,15,76,0,190
1,15,77,0,190
1,15,78,0,190
1,15,79,0,190
1,15,80,0,190
1,15,81,0,190
1,15,82,0,190
1,15,83,0,190
1,15,84,0,190
1,20,1,0,40
1,20,2,0,40
1,20,3,0,40
1,20,4,0,40
1,20,5,0,40
1,20,6,0,40
1,20,7,0,40
1,20,8,0,40
1,20,9,0,40
1,20,10,0,40
1,20,11,0,40
1,20,12,0,40
1,20,13,0,40
1,20,14,0,40
1,20,15,0,40
1,20,16,0,40
1,20,17,0,40
1,20,18,0,40
1,20,19,0,40
1,20,20,0,40
1,20,21,0,40
1,20,22,0,40
1,20,23,0,40
1,20,24,0,40
1,20,25,0,40
1,20,26,0,40
1,20,27,0,40
1,20,28,0,40
1,20,29,0,40
1,20,30,0,40
1,20,31,0,40
1,20,32,0,40
1,20,33,0,40
1,20,34,0,40
1,20,35,0,40
1,20,36,0,40
1,20,37,0,40
1,20,38,0,40
1,20,39,0,40
1,20,40,0,40
1,20,41,0,40
1,20,42,0,40
1,20,43,0,40
1,20,44,0,40
1,20,45,0,40
1,20,46,0,40
1,20,47,0,40
1,20,48,0,40
1,20,49,0,40
1,20,50,0,40
1,20,51,0,40
1,20,52,0,40
1,20,53,0,40
1,20,54,0,40
1,20,55,0,40
1,20,56,0,40
1,20,57,0,40
1,20,58,0,40
1,20,59,0,40
1,20,60,0,40
1,20,61,0,40
1,20,62,0,40
1,20,63,0,40
1,20,64,0,40
1,20,65,0,40
1,20,66,0,40
1,20,67,0,40
1,20,68,0,40
1,20,69,0,40
1,20,70,0,40
1,20,71,0,40
1,20,72,0,40
1,20,73,0,40
1,20,74,0,40
1,20,75,0,40
1,20,76,0,40
1,20,77,0,40
1,20,78,0,40
1,20,79,0,40
1,20,80,0,40
1,20,81,0,40
1,20,82,0,40
1,20,83,0,40
1,20,84,0,40
1,21,1,0,40
1,21,2,0,40
1,21,3,0,40
1,21,4,0,40
1,21,5,0,40
1,21,6,0,40
1,21,7,0,40
1,21,8,0,40
1,21,9,0,40
1,21,10,0,40
1,21,11,0,40
1,21,12,0,40
1,21,13,0,40
1,21,14,0,40
1,21,15,0,40
1,21,16,0,40
1,21,17,0,40
1,21,18,0,40
1,21,19,0,40
1,21,20,0,40
1,21,21,0,40
1,21,22,0,40
1,21,23,0,40
1,21,24,0,40
1,21,25,0,40
1,21,26,0,40
1,21,27,0,40
1,21,28,0,40
1,21,29,0,40
1,21,30,0,40
1,21,31,0,40
1,21,32,0,40
1,21,33,0,40
1,21,34,0,40
1,21,35,0,40
1,21,36,0,40
1,21,37,0,40
1,21,38,0,40
1,21,39,0,40
1,21,40,0,40
1,21,41,0,40
1,21,42,0,40
1,21,43,0,40
1,21,44,0,40
1,21,45,0,40
1,21,46,0,40
1,21,47,0,40
1,21,48,0,40
1,21,49,0,40
1,21,50,0,40
1,21,51,0,40
1,21,52,0,40
1,21,53,0,40
1,21,54,0,40
1,21,55,1,40
1,21,56,0,40
1,21,57,0,40
1,21,58,0,40
1,21,59,0,40
1,21,60,0,40
1,21,61,0,40
1,21,62,0,40
1,21,63,0,40
1,21,64,0,40
1,21,65,0,40
1,21,66,0,40
1,21,67,0,40
1,21,68,0,40
1,21,69,0,40
1,21,70,0,40
1,21,71,0,40
1,21,72,0,40
1,21,73,0,40
1,21,74,0,40
1,21,75,0,40
1,21,76,0,40
1,21,77,0,40
1,21,78,0,40
1,21,79,0,40
1,21,80,0,40
1,21,81,0,40
1,21,82,0,40
1,21,83,0,40
1,21,84,0,40
2,1,1,0,130
2,1,2,0,130
2,1,3,0,130
2,1,4,0,130
2,1,5,0,130
2,1,6,0,130
2,1,7,0,130
2,1,8,0,130
2,1,9,0,130
2,1,10,0,130
2,1,11,0,130
2,1,12,0,130
2,1,13,0,130
2,1,14,0,130
2,1,15,0,130
2,1,16,0,130
2,1,17,0,130
2,1,18,0,130
2,1,19,0,130
2,1,20,0,130
2,1,21,0,130
2,1,22,0,130
2,1,23,0,130
2,1,24,0,130
2,1,25,0,130
2,1,26,0,130
2,1,27,0,130
2,1,28,0,130
2,1,29,0,130
2,1,30,0,130
2,1,31,0,130
2,1,32,0,130
2,1,33,0,130
2,1,34,0,130
2,1,35,0,130
2,1,36,0,130
2,1,37,0,130
2,1,38,0,130
2,1,39,0,130
2,1,40,0,130
2,1,41,0,130
2,1,42,0,130
2,1,43,0,130
2,1,44,0,130
2,1,45,0,130
2,1,46,0,130
2,1,47,0,130
2,1,48,0,130
2,1,49,0,130
2,1,50,0,130
2,1,51,0,130
2,1,52,0,130
2,1,53,0,130
2,1,54,0,130
2,1,55,0,130
2,1,56,0,130
2,1,57,0,130
2,1,58,0,130
2,1,59,0,130
2,1,60,0,130
2,1,61,0,130
2,1,62,0,130
2,1,63,0,130
2,1,64,0,130
2,1,65,0,130
2,1,66,0,130
2,1,67,0,130
2,1,68,0,130
2,1,69,0,130
2,1,70,0,130
2,1,71,0,130
2,1,72,0,130
2,1,73,0,130
2,1,74,0,130
2,1,75,0,130
2,1,76,0,130
2,1,77,0,130
2,1,78,0,130
2,1,79,0,130
2,1,80,0,130
2,1,81,0,130
2,1,82,0,130
2,1,83,0,130
2,1,84,0,130
2,2,1,0,130
2,2,2,0,130
2,2,3,0,130
2,2,4,0,130
2,2,5,0,130
2,2,6,0,130
2,2,7,0,130
2,2,8,0,130
2,2,9,0,130
2,2,10,0,130
2,2,11,1,130
2,2,12,0,130
2,2,13,0,130
2,2,14,0,130
2,2,15,0,130
2,2,16,0,130
2,2,17,0,130
2,2,18,0,130
2,2,19,0,130
2,2,20,1,130
2,2,21,0,130
2,2,22,0,130
2,2,23,0,130
2,2,24,0,130
2,2,25,0,130
2,2,26,0,130
2,2,27,0,130
2,2,28,1,130
2,2,29,0,130
2,2,30,0,130
2,2,31,0,130
2,2,32,1,130
2,2,33,0,130
2,2,34,0,130
2,2,35,0,130
2,2,36,0,130
2,2,37,0,130
2,2,38,0,130
2,2,39,0,130
2,2,40,0,130
2,2,41,0,130
2,2,42,0,130
2,2,43,0,130
2,2,44,1,130
2,2,45,0,130
2,2,46,0,130
2,2,47,0,130
2,2,48,0,130
2,2,49,0,130
2,2,50,0,130
2,2,51,0,130
2,2,52,0,130
2,2,53,0,130
2,2,54,0,130
2,2,55,0,130
2,2,56,0,130
2,2,57,0,130
2,2,58,0,130
2,2,59,0,130
2,2,60,1,130
2,2,61,0,130
2,2,62,0,130
2,2,63,0,130
2,2,64,0,130
2,2,65,0,130
2,2,66,0,130
2,2,67,0,130
2,2,68,0,130
2,2,69,0,130
2,2,70,0,130
2,2,71,0,130
2,2,72,0,130
2,2,73,0,130
2,2,74,0,130
2,2,75,0,130
2,2,76,0,130
2,2,77,0,130
2,2,78,0,130
2,2,79,0,130
2,2,80,0,130
2,2,81,0,130
2,2,82,0,130
2,2,83,0,130
2,2,84,0,130
2,3,1,0,200
2,3,2,0,200
2,3,3,0,200
2,3,4,0,200
2,3,5,0,200
2,3,6,0,200
2,3,7,0,200
2,3,8,0,200
2,3,9,0,200
2,3,10,0,200
2,3,11,0,200
2,3,12,0,200
2,3,13,0,200
2,3,14,0,200
2,3,15,0,200
2,3,16,0,200
2,3,17,0,200
2,3,18,0,200
2,3,19,0,200
2,3,20,0,200
2,3,21,0,200
2,3,22,0,200
2,3,23,0,200
2,3,24,0,200
2,3,25,0,200
2,3,26,0,200
2,3,27,0,200
2,3,28,0,200
2,3,29,0,200
2,3,30,0,200
2,3,31,0,200
2,3,32,0,200
2,3,33,0,200
2,3,34,0,200
2,3,35,0,200
2,3,36,0,200
2,3,37,0,200
2,3,38,0,200
2,3,39,0,200
2,3,40,0,200
2,3,41,0,200
2,3,42,0,200
2,3,43,0,200
2,3,44,0,200
2,3,45,0,200
2,3,46,0,200
2,3,47,0,200
2,3,48,0,200
2,3,49,0,200
2,3,50,0,200
2,3,51,0,200
2,3,52,0,200
2,3,53,0,200
2,3,54,0,200
2,3,55,0,200
2,3,56,0,200
2,3,57,0,200
2,3,58,0,200
2,3,59,0,200
2,3,60,0,200
2,3,61,0,200
2,3,62,0,200
2,3,63,0,200
2,3,64,0,200
2,3,65,0,200
2,3,66,0,200
2,3,67,0,200
2,3,68,0,200
2,3,69,0,200
2,3,70,0,200
2,3,71,0,200
2,3,72,0,200
2,3,73,0,200
2,3,74,0,200
2,3,75,0,200
2,3,76,0,200
2,3,77,0,200
2,3,78,0,200
2,3,79,0,200
2,3,80,0,200
2,3,81,0,200
2,3,82,0,200
2,3,83,0,200
2,3,84,0,200
2,10,1,0,180
2,10,2,0,180
2,10,3,0,180
2,10,4,0,180
2,10,5,0,180
2,10,6,0,180
2,10,7,0,180
2,10,8,0,180
2,10,9,0,180
2,10,10,0,180
2,10,11,0,180
2,10,12,0,180
2,10,13,0,180
2,10,14,0,180
2,10,15,0,180
2,10,16,0,180
2,10,17,0,180
2,10,18,0,180
2,10,19,0,180
2,10,20,0,180
2,10,21,0,180
2,10,22,0,180
2,10,23,0,180
2,10,24,0,180
2,10,25,0,180
2,10,26,0,180
2,10,27,0,180
2,10,28,0,180
2,10,29,0,180
2,10,30,0,180
2,10,31,0,180
2,10,32,0,180
2,10,33,0,180
2,10,34,0,180
2,10,35,0,180
2,10,36,0,180
2,10,37,0,180
2,10,38,0,180
2,10,39,0,180
2,10,40,0,180
2,10,41,0,180
2,10,42,0,180
2,10,43,0,180
2,10,44,0,180
2,10,45,0,180
2,10,46,0,180
2,10,47,0,180
2,10,48,0,180
2,10,49,0,180
2,10,50,0,180
2,10,51,0,180
2,10,52,0,180
2,10,53,0,180
2,10,54,0,180
2,10,55,0,180
2,10,56,0,180
2,10,57,0,180
2,10,58,0,180
2,10,59,0,180
2,10,60,0,180
2,10,61,0,180
2,10,62,0,180
2,10,63,0,180
2,10,64,0,180
2,10,65,0,180
2,10,66,0,180
2,10,67,0,180
2,10,68,0,180
2,10,69,0,180
2,10,70,0,180
2,10,71,0,180
2,10,72,0,180
2,10,73,0,180
2,10,74,0,180
2,10,75,0,180
2,10,76,0,180
2,10,77,0,180
2,10,78,0,180
2,10,79,0,180
2,10,80,0,180
2,10,81,0,180
2,10,82,0,180
2,10,83,0,180
2,10,84,0,180
2,11,1,0,180
2,11,2,0,180
2,11,3,0,180
2,11,4,0,180
2,11,5,0,180
2,11,6,0,180
2,11,7,0,180
2,11,8,0,180
2,11,9,0,180
2,11,10,0,180
2,11,11,0,180
2,11,12,0,180
2,11,13,0,180
2,11,14,0,180
2,11,15,0,180
2,11,16,0,180
2,11,17,0,180
2,11,18,0,180
2,11,19,0,180
2,11,20,0,180
2,11,21,0,180
2,11,22,0,180
2,11,23,0,180
2,11,24,0,180
2,11,25,0,180
2,11,26,0,180
2,11,27,0,180
2,11,28,0,180
2,11,29,0,180
2,11,30,0,180
2,11,31,0,180
2,11,32,0,180
2,11,33,0,180
2,11,34,0,180
2,11,35,0,180
2,11,36,0,180
2,11,37,0,180
2,11,38,0,180
2,11,39,0,180
2,11,40,0,180
2,11,41,0,180
2,11,42,0,180
2,11,43,0,180
2,11,44,0,180
2,11,45,0,180
2,11,46,0,180
2,11,47,0,180
2,11,48,0,180
2,11,49,0,180
2,11,50,0,180
2,11,51,0,180
2,11,52,0,180
2,11,53,0,180
2,11,54,0,180
2,11,55,0,180
2,11,56,0,180
2,11,57,0,180
2,11,58,0,180
2,11,59,0,180
2,11,60,0,180
2,11,61,0,180
2,11,62,0,180
2,11,63,0,180
2,11,64,0,180
2,11,65,0,180
2,11,66,0,180
2,11,67,0,180
2,11,68,0,180
2,11,69,0,180
2,11,70,0,180
2,11,71,0,180
2,11,72,0,180
2,11,73,0,180
2,11,74,0,180
2,11,75,0,180
2,11,76,0,180
2,11,77,0,180
2,11,78,0,180
2,11,79,0,180
2,11,80,0,180
2,11,81,0,180
2,11,82,0,180
2,11,83,0,180
2,11,84,0,180
2,12,1,0,180
2,12,2,0,180
2,12,3,0,180
2,12,4,0,180
2,12,5,0,180
2,12,6,0,180
2,12,7,0,180
2,12,8,0,180
2,12,9,0,180
2,12,10,0,180
2,12,11,0,180
2,12,12,0,180
2,12,13,0,180
2,12,14,0,180
2,12,15,0,180
2,12,16,0,180
2,12,17,0,180
2,12,18,0,180
2,12,19,0,180
2,12,20,0,180
2,12,21,0,180
2,12,22,0,180
2,12,23,0,180
2,12,24,0,180
2,12,25,0,180
2,12,26,0,180
2,12,27,0,180
2,12,28,0,180
2,12,29,0,180
2,12,30,0,180
2,12,31,0,180
2,12,32,0,180
2,12,33,0,180
2,12,34,0,180
2,12,35,0,180
2,12,36,0,180
2,12,37,0,180
2,12,38,0,180
2,12,39,0,180
2,12,40,0,180
2,12,41,0,180
2,12,42,0,180
2,12,43,0,180
2,12,44,0,180
2,12,45,0,180
2,12,46,0,180
2,12,47,0,180
2,12,48,0,180
2,12,49,0,180
2,12,50,0,180
2,12,51,0,180
2,12,52,0,180
